# Region       : all region0
# Cells        : 307680
# Volume       : 1.8842837e-05
# Time         	max(T)
5e-06          	8.0141605e+02
1e-05          	8.0151867e+02
1.5e-05        	8.0372795e+02
2e-05          	8.0486877e+02
2.5e-05        	8.0535216e+02
3e-05          	8.0505044e+02
3.5e-05        	8.0443728e+02
4e-05          	8.0443583e+02
4.5e-05        	8.0415278e+02
5e-05          	8.0352859e+02
5.5e-05        	8.0294415e+02
6e-05          	8.0263938e+02
6.5e-05        	8.0222350e+02
7e-05          	8.0207284e+02
7.5e-05        	8.0122691e+02
8e-05          	8.0067609e+02
8.5e-05        	8.0065654e+02
9e-05          	8.0063009e+02
9.5e-05        	8.0063503e+02
0.0001         	8.0064720e+02
0.000105       	8.0064759e+02
0.00011        	8.0059957e+02
0.000115       	8.0054008e+02
0.00012        	8.0047394e+02
0.000125       	8.0041586e+02
0.00013        	8.0034742e+02
0.000135       	8.0032625e+02
0.00014        	8.0032177e+02
0.000145       	8.0029420e+02
0.00015        	8.0025922e+02
0.000155       	8.0023455e+02
0.00016        	8.0019982e+02
0.000165       	8.0018730e+02
0.00017        	8.0017099e+02
0.000175       	8.0015895e+02
0.00018        	8.0015170e+02
0.000185       	8.0090620e+02
0.00019        	8.0174335e+02
0.000195       	8.0306920e+02
0.0002         	8.0330459e+02
0.000205       	8.0331416e+02
0.00021        	8.0651963e+02
0.000215       	8.0344377e+02
0.00022        	8.0458076e+02
0.000225       	8.0183738e+02
0.00023        	8.0301252e+02
0.000235       	8.0052241e+02
0.00024        	8.0225456e+02
0.000245       	8.0007880e+02
0.00025        	8.0151538e+02
0.000255       	7.9994500e+02
0.00026        	8.0098298e+02
0.000265       	7.9952324e+02
0.00027        	7.9947541e+02
0.000275       	7.9943013e+02
0.00028        	7.9937840e+02
0.000285       	7.9933396e+02
0.00029        	7.9928363e+02
0.000295       	7.9923882e+02
0.0003         	7.9917457e+02
0.000305       	8.1413759e+02
0.00031        	8.5871889e+02
