# Region       : all region0
# Cells        : 307680
# Volume       : 1.8842837e-05
# Time         	min(T)
5e-06          	6.3338901e+02
1e-05          	6.6677815e+02
1.5e-05        	6.2859312e+02
2e-05          	5.6973108e+02
2.5e-05        	5.3258141e+02
3e-05          	5.0082514e+02
3.5e-05        	4.8973747e+02
4e-05          	4.9175516e+02
4.5e-05        	4.8067112e+02
5e-05          	4.7677245e+02
5.5e-05        	4.7738443e+02
6e-05          	4.7027173e+02
6.5e-05        	4.7327224e+02
7e-05          	4.7200706e+02
7.5e-05        	4.6492173e+02
8e-05          	4.6166491e+02
8.5e-05        	4.5494358e+02
9e-05          	4.5627499e+02
9.5e-05        	4.4971465e+02
0.0001         	4.4061313e+02
0.000105       	4.3753371e+02
0.00011        	4.2519904e+02
0.000115       	4.2791012e+02
0.00012        	4.1807616e+02
0.000125       	4.1908955e+02
0.00013        	4.1661964e+02
0.000135       	4.1614248e+02
0.00014        	4.1352167e+02
0.000145       	4.1356806e+02
0.00015        	4.0866476e+02
0.000155       	4.1104975e+02
0.00016        	4.0953516e+02
0.000165       	4.1187885e+02
0.00017        	4.1033654e+02
0.000175       	4.1103015e+02
0.00018        	4.1037643e+02
0.000185       	4.1468946e+02
0.00019        	4.1621956e+02
0.000195       	4.2140120e+02
0.0002         	4.2439685e+02
0.000205       	4.2607594e+02
0.00021        	4.2686546e+02
0.000215       	4.2587746e+02
0.00022        	4.2545032e+02
0.000225       	4.2662820e+02
0.00023        	4.2709878e+02
0.000235       	4.2769081e+02
0.00024        	4.2911820e+02
0.000245       	4.3083612e+02
0.00025        	4.3270625e+02
0.000255       	4.3317502e+02
0.00026        	4.3573846e+02
0.000265       	4.3738461e+02
0.00027        	4.3930480e+02
0.000275       	4.4019021e+02
0.00028        	4.4195272e+02
0.000285       	4.4183643e+02
0.00029        	4.4287817e+02
0.000295       	4.4060281e+02
0.0003         	3.8851097e+02
0.000305       	3.2581301e+02
0.00031        	3.2064168e+02
