# Region       : all region0
# Cells        : 307680
# Volume       : 1.8842837e-05
# Time         	volAverage(T)
5e-06          	7.9998110e+02
1e-05          	7.9995264e+02
1.5e-05        	7.9991261e+02
2e-05          	7.9987719e+02
2.5e-05        	7.9984305e+02
3e-05          	7.9980745e+02
3.5e-05        	7.9977005e+02
4e-05          	7.9973242e+02
4.5e-05        	7.9969411e+02
5e-05          	7.9965214e+02
5.5e-05        	7.9960804e+02
6e-05          	7.9955965e+02
6.5e-05        	7.9950845e+02
7e-05          	7.9945484e+02
7.5e-05        	7.9939745e+02
8e-05          	7.9933709e+02
8.5e-05        	7.9927553e+02
9e-05          	7.9921127e+02
9.5e-05        	7.9914516e+02
0.0001         	7.9907678e+02
0.000105       	7.9900549e+02
0.00011        	7.9893118e+02
0.000115       	7.9885273e+02
0.00012        	7.9877223e+02
0.000125       	7.9868772e+02
0.00013        	7.9860104e+02
0.000135       	7.9851010e+02
0.00014        	7.9841611e+02
0.000145       	7.9831900e+02
0.00015        	7.9821920e+02
0.000155       	7.9811547e+02
0.00016        	7.9800892e+02
0.000165       	7.9789600e+02
0.00017        	7.9778201e+02
0.000175       	7.9766460e+02
0.00018        	7.9754417e+02
0.000185       	7.9741980e+02
0.00019        	7.9729119e+02
0.000195       	7.9715899e+02
0.0002         	7.9702477e+02
0.000205       	7.9688584e+02
0.00021        	7.9674545e+02
0.000215       	7.9660245e+02
0.00022        	7.9645657e+02
0.000225       	7.9630752e+02
0.00023        	7.9615513e+02
0.000235       	7.9599975e+02
0.00024        	7.9584280e+02
0.000245       	7.9568232e+02
0.00025        	7.9551946e+02
0.000255       	7.9535195e+02
0.00026        	7.9518079e+02
0.000265       	7.9500559e+02
0.00027        	7.9482721e+02
0.000275       	7.9464582e+02
0.00028        	7.9445668e+02
0.000285       	7.9425490e+02
0.00029        	7.9403070e+02
0.000295       	7.9377328e+02
0.0003         	7.9347527e+02
0.000305       	7.9315441e+02
0.00031        	7.9281089e+02
